STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLD,E,16,RAINTIP,20180513 0300,20180513 0300,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0400,20180513 0400,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0500,20180513 0500,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0600,20180513 0600,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0700,20180513 0700,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0800,20180513 0800,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0900,20180513 0900,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1000,20180513 1000,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1100,20180513 1100,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1200,20180513 1200,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1300,20180513 1300,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1400,20180513 1400,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1500,20180513 1500,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1600,20180513 1600,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1700,20180513 1700,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1800,20180513 1800,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 1900,20180513 1900,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 2000,20180513 2000,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 2100,20180513 2100,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 2200,20180513 2200,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 2300,20180513 2300,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0000,20180514 0000,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0100,20180514 0100,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0200,20180514 0200,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0300,20180514 0300,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0400,20180514 0400,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0500,20180514 0500,31.23, ,INCHES
TLD,E,16,RAINTIP,20180514 0505,20180514 0505,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 0600,20180514 0600,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 0700,20180514 0700,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 0800,20180514 0800,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 0900,20180514 0900,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1000,20180514 1000,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1100,20180514 1100,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1200,20180514 1200,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1300,20180514 1300,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1400,20180514 1400,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1500,20180514 1500,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1600,20180514 1600,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1700,20180514 1700,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1800,20180514 1800,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 1900,20180514 1900,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 2000,20180514 2000,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 2100,20180514 2100,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 2200,20180514 2200,31.24, ,INCHES
TLD,E,16,RAINTIP,20180514 2300,20180514 2300,31.24, ,INCHES
TLD,E,16,RAINTIP,20180515 0000,20180515 0000,31.24, ,INCHES
TLD,E,16,RAINTIP,20180515 0100,20180515 0100,31.24, ,INCHES
TLD,E,16,RAINTIP,20180515 0200,20180515 0200,31.24, ,INCHES
