"","x"
"1327",29.0113846153846
"1328",29.19
"1329",29.5406097560976
"1330",29.81
"1331",29.81
"1332",29.81
"1333",29.81
"1334",30.1107446808511
"1335",30.8224137931034
"1336",30.9738461538462
"1337",30.9865384615385
"1338",31.0784848484848
"1339",31.12
"1340",31.12
"1341",31.12
"1342",31.12
"1343",31.12
"1344",31.12
"1345",31.12
"1346",31.12
"1347",31.12
"1348",31.12
"1349",31.12
"1350",31.12
"1351",31.12
"1352",31.12
"1353",31.12
"1354",31.12
"1355",31.12
"1356",31.12
"1357",31.12
"1358",31.12
"1359",31.12
"1360",31.12
"1361",31.12
"1362",31.12
"1363",31.12
"1364",31.12
"1365",31.12
"1366",31.12
"1367",31.12
"1368",31.12
"1369",31.12
"1370",31.12
"1371",31.12
"1372",31.12
"1373",31.12
"1374",31.12
"1375",31.12
"1376",31.12
"1377",31.12
"1378",31.12
"1379",31.12
"1380",31.12
"1381",31.12
"1382",31.12
"1383",31.12
"1384",31.1216
"1385",31.136
"1386",31.14
"1387",31.14
"1388",31.14
"1389",31.14
"1390",31.14
"1391",31.14
"1392",31.14
"1393",31.14
"1394",31.1726666666667
"1395",31.21
"1396",31.21
"1397",31.21
"1398",31.21
"1399",31.21
"1400",31.21
"1401",31.21
"1402",31.21
"1403",31.2582142857143
"1404",31.27
"1405",31.4832727272727
"1406",31.6
"1407",31.6
"1408",31.6
"1409",31.604
"1410",31.61
"1411",31.61
"1412",31.61
"1413",31.61
"1414",31.61
"1415",31.61
"1416",31.61
"1417",31.7455
"1418",32.1326829268293
"1419",32.2076
"1420",32.2184
"1421",32.22
"1422",32.22
"1423",32.22
"1424",32.22
"1425",32.22
"1426",32.22
"1427",32.22
"1428",32.22
"1429",32.22
"1430",32.22
"1431",32.22
"1432",32.259
"1433",32.28
"1434",32.28
"1435",33.05
"1436",33.5354166666667
"1437",33.9
"1438",33.9
"1439",34.1209090909091
"1440",34.306875
"1441",34.6692307692308
"1442",34.8930303030303
"1443",34.93
"1444",34.93
"1445",34.93
"1446",34.93
"1447",34.93
"1448",34.93
"1449",34.93
"1450",34.93
"1451",34.93
"1452",34.934
"1453",34.94
"1454",34.94
"1455",34.94
"1456",34.9557692307692
"1457",34.96
"1458",34.96
"1459",34.96
"1460",34.96
"1461",34.96
"1462",34.96
"1463",34.96
"1464",34.96
"1465",34.96
"1466",34.96
"1467",34.96
"1468",34.96
"1469",34.96
"1470",34.96
"1471",34.96
"1472",34.96
"1473",34.96
"1474",35.03
"1475",35.03
"1476",35.03
"1477",35.03
"1478",35.03
"1479",35.03
